Date,State,Confirmed,Recovered,Deaths
02-Apr-20,odisha,0,0,0
02-Apr-20,puducherry,2,0,0
02-Apr-20,punjab,1,0,1
02-Apr-20,rajasthan,13,0,0
02-Apr-20,sikkim,0,0,0
02-Apr-20,tamilnadu,75,0,0
02-Apr-20,telangana,27,3,0
02-Apr-20,total,486,22,11
02-Apr-20,tripura,0,0,0
02-Apr-20,uttarakhand,3,0,0
02-Apr-20,uttarpradesh,11,0,0
02-Apr-20,westbengal,16,0,0
03-Apr-20,andamanandnicobarislands,0,0,0
03-Apr-20,andhrapradesh,0,0,0
03-Apr-20,arunachalpradesh,0,0,0
03-Apr-20,assam,0,0,0
03-Apr-20,bihar,0,0,0
03-Apr-20,chandigarh,0,0,0
03-Apr-20,chhattisgarh,0,0,0
03-Apr-20,dadranagarhave,0,0,0
03-Apr-20,damananddiu,0,0,0
03-Apr-20,delhi,0,0,0
03-Apr-20,goa,1,0,0
03-Apr-20,gujarat,0,0,0
03-Apr-20,haryana,0,0,0
03-Apr-20,himachalpradesh,0,0,0
03-Apr-20,jammuandkashmir,0,0,0
03-Apr-20,jharkhand,0,0,0
03-Apr-20,karnataka,0,0,0
03-Apr-20,kerala,0,0,0
03-Apr-20,ladakh,0,0,0
03-Apr-20,lakshadweep,0,0,0
03-Apr-20,madhyapradesh,0,0,0
03-Apr-20,maharashtra,0,0,0
03-Apr-20,manipur,0,0,0
03-Apr-20,meghalaya,0,0,0
03-Apr-20,mizoram,0,0,0
03-Apr-20,nagaland,0,0,0
03-Apr-20,odisha,0,1,0
03-Apr-20,puducherry,0,0,0
03-Apr-20,punjab,0,0,0
03-Apr-20,rajasthan,21,0,0
03-Apr-20,sikkim,0,0,0
03-Apr-20,tamilnadu,0,0,0
03-Apr-20,telangana,0,0,0
03-Apr-20,total,22,1,0
03-Apr-20,tripura,0,0,0
03-Apr-20,uttarakhand,0,0,0
03-Apr-20,uttarpradesh,0,0,0
03-Apr-20,westbengal,0,0,0
